Country,State lgd code,State,Year,Types of coal,Coal consuming sectors,Coal consumed
India,8,Rajasthan,2014,LIGNITE,TEXTILES & RAYONS,65000
India,33,Tamil Nadu,2013,LIGNITE,BRICKS,9000
India,8,Rajasthan,2014,RAW COAL,POWER (CAPTIVE),2717000
India,33,Tamil Nadu,2013,LIGNITE,PULP & PAPER,27000
India,8,Rajasthan,2016,LIGNITE,CEMENT,87000
India,33,Tamil Nadu,2013,RAW COAL,POWER (UTILITY),12850000
India,8,Rajasthan,2016,RAW COAL,FERTILISERS,255000
India,33,Tamil Nadu,2014,RAW COAL,POWER (UTILITY),14863000
India,8,Rajasthan,2016,WASHED COAL,POWER (CAPTIVE),5479000
India,33,Tamil Nadu,2015,LIGNITE,CHEMICAL,7000
India,8,Rajasthan,2018,LIGNITE,BRICKS,0
India,33,Tamil Nadu,2016,LIGNITE,OTHER,34000
India,8,Rajasthan,2018,LIGNITE,CEMENT,262000
India,33,Tamil Nadu,2016,RAW COAL,POWER (UTILITY),19765000
India,8,Rajasthan,2018,RAW COAL,POWER (UTILITY),9790000
India,33,Tamil Nadu,2017,LIGNITE,FERTILISERS,0
India,8,Rajasthan,2020,LIGNITE,CEMENT,224000
India,33,Tamil Nadu,2017,RAW COAL,OTHER,284000
India,8,Rajasthan,2020,RAW COAL,CEMENT,280000
India,33,Tamil Nadu,2018,LIGNITE,BRICKS,9000
