Country,State lgd code,State,Year,Types of coal,Coal consuming sectors,Coal consumed
India,19,West Bengal,2011,RAW COAL,TEXTILES & RAYONS,17000
India,21,Odisha,2014,RAW COAL,OTHER,18452000
India,19,West Bengal,2012,RAW COAL,CHEMICAL,11000
India,21,Odisha,2014,RAW COAL,SPONGE IRON,2688000
India,19,West Bengal,2012,RAW COAL,POWER (UTILITY),39942000
India,21,Odisha,2015,RAW COAL,METALLURGICAL USE- DIRECT FEED,153000
India,19,West Bengal,2012,RAW COAL,PULP & PAPER,40000
India,21,Odisha,2016,MIDDLINGS,POWER (CAPTIVE),79000
India,19,West Bengal,2012,RAW COAL,SPONGE IRON,480000
India,21,Odisha,2016,RAW COAL,CEMENT,253000
India,19,West Bengal,2012,WASHED COAL,METALLURGICAL USE- COKERIES,514000
India,21,Odisha,2016,RAW COAL,OTHER,25062000
India,19,West Bengal,2013,RAW COAL,POWER (UTILITY),42663000
India,21,Odisha,2016,RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),220000
India,19,West Bengal,2014,RAW COAL,METALLURGICAL USE- DIRECT FEED,45000
India,21,Odisha,2019,RAW COAL,COLLIERY OWN - CONSUMPTION,3000
India,19,West Bengal,2015,MIDDLINGS,POWER (CAPTIVE),552000
India,21,Odisha,2020,RAW COAL,PULP & PAPER,117000
India,19,West Bengal,2015,MIDDLINGS,POWER (UTILITY),305000
India,22,Chhattisgarh,2011,RAW COAL,OTHER,7509000
India,19,West Bengal,2015,RAW COAL,CEMENT,18000
India,22,Chhattisgarh,2011,RAW COAL,PULP & PAPER,23000
India,19,West Bengal,2016,RAW COAL,POWER (CAPTIVE),228000
India,22,Chhattisgarh,2012,RAW COAL,STEEL (BOILERS),417000
India,19,West Bengal,2016,WASHED COAL,METALLURGICAL USE- COKERIES,1231000
India,22,Chhattisgarh,2013,WASHED COAL,POWER (UTILITY),376000
India,19,West Bengal,2017,RAW COAL,POWER (UTILITY),47445000
India,22,Chhattisgarh,2015,RAW COAL,CEMENT,1520000
India,19,West Bengal,2017,RAW COAL,TEXTILES & RAYONS,4000
India,22,Chhattisgarh,2015,RAW COAL,POWER (UTILITY),42434000
India,19,West Bengal,2018,RAW COAL,METALLURGICAL USE- DIRECT FEED,2000
India,22,Chhattisgarh,2015,RAW COAL,STEEL (BOILERS),366000
India,19,West Bengal,2018,RAW COAL,SPONGE IRON,485000
India,22,Chhattisgarh,2015,WASHED COAL,METALLURGICAL USE- COKERIES,10000
India,19,West Bengal,2019,MIDDLINGS,OTHER,141000
India,22,Chhattisgarh,2016,RAW COAL,SPONGE IRON,3251000
India,19,West Bengal,2019,RAW COAL,CHEMICAL,2000
India,22,Chhattisgarh,2017,WASHED COAL,METALLURGICAL USE- COKERIES,246000
India,19,West Bengal,2019,RAW COAL,PULP & PAPER,33000
India,22,Chhattisgarh,2018,RAW COAL,POWER (CAPTIVE),5859000
India,19,West Bengal,2019,WASHED COAL,POWER (UTILITY),896000
India,22,Chhattisgarh,2019,MIDDLINGS,STEEL (BOILERS),18000
India,19,West Bengal,2020,RAW COAL,COLLIERY OWN - CONSUMPTION,180000
India,22,Chhattisgarh,2019,RAW COAL,METALLURGICAL USE- DIRECT FEED,205000
India,20,Jharkhand,2011,RAW COAL,METALLURGICAL USE- COKERIES,1200000
India,22,Chhattisgarh,2019,RAW COAL,POWER (CAPTIVE),8703000
India,20,Jharkhand,2011,RAW COAL,METALLURGICAL USE- DIRECT FEED,445000
India,22,Chhattisgarh,2019,RAW COAL,PULP & PAPER,18000
India,20,Jharkhand,2012,RAW COAL,CEMENT,108000
India,22,Chhattisgarh,2019,WASHED COAL,METALLURGICAL USE- COKERIES,22000
India,20,Jharkhand,2013,RAW COAL,BRICKS,8000
India,22,Chhattisgarh,2020,RAW COAL,CEMENT,2252000
India,20,Jharkhand,2013,RAW COAL,CHEMICAL,5000
India,22,Chhattisgarh,2020,RAW COAL,POWER (CAPTIVE),75632000
India,20,Jharkhand,2014,RAW COAL,METALLURGICAL USE- COKERIES,782000
India,23,Madhya Pradesh,2012,MIDDLINGS,POWER (UTILITY),106000
India,20,Jharkhand,2014,RAW COAL,OTHER,6866000
India,23,Madhya Pradesh,2012,RAW COAL,SPONGE IRON,93000
India,20,Jharkhand,2014,RAW COAL,TEXTILES & RAYONS,4000
India,23,Madhya Pradesh,2012,WASHED COAL,CEMENT,281000
India,20,Jharkhand,2015,MIDDLINGS,OTHER,1000
India,23,Madhya Pradesh,2013,RAW COAL,BRICKS,696000
India,20,Jharkhand,2015,RAW COAL,METALLURGICAL USE- COKERIES,750000
India,23,Madhya Pradesh,2013,RAW COAL,POWER (CAPTIVE),2487000
India,20,Jharkhand,2015,RAW COAL,POWER (UTILITY),24157000
India,23,Madhya Pradesh,2013,RAW COAL,TEXTILES & RAYONS,28000
India,20,Jharkhand,2015,WASHED COAL,OTHER,1000
India,23,Madhya Pradesh,2013,WASHED COAL,CEMENT,58000
India,20,Jharkhand,2016,MIDDLINGS,STEEL (BOILERS),136000
India,23,Madhya Pradesh,2015,WASHED COAL,POWER (UTILITY),244000
India,20,Jharkhand,2016,RAW COAL,CHEMICAL,4000
India,23,Madhya Pradesh,2017,RAW COAL,METALLURGICAL USE- COKERIES,29000
India,20,Jharkhand,2016,RAW COAL,COLLIERY OWN - CONSUMPTION,57000
India,23,Madhya Pradesh,2018,RAW COAL,POWER (UTILITY),49490000
India,20,Jharkhand,2016,RAW COAL,POWER (UTILITY),32373000
India,23,Madhya Pradesh,2018,RAW COAL,PULP & PAPER,153000
India,20,Jharkhand,2016,WASHED COAL,METALLURGICAL USE- COKERIES,3443000
India,23,Madhya Pradesh,2019,RAW COAL,CHEMICAL,22000
India,20,Jharkhand,2017,RAW COAL,BRICKS,75000
India,23,Madhya Pradesh,2019,RAW COAL,PULP & PAPER,150000
India,20,Jharkhand,2018,MIDDLINGS,OTHER,1000
India,24,Gujarat,2011,LIGNITE,BRICKS,529000
India,20,Jharkhand,2019,MIDDLINGS,POWER (CAPTIVE),1108000
India,24,Gujarat,2011,LIGNITE,PULP & PAPER,2519000
India,20,Jharkhand,2019,RAW COAL,BRICKS,81000
India,24,Gujarat,2011,RAW COAL,FERTILISERS,375000
India,20,Jharkhand,2019,RAW COAL,POWER (CAPTIVE),7385000
India,24,Gujarat,2012,LIGNITE,BRICKS,915000
India,20,Jharkhand,2020,RAW COAL,OTHER,3705000
India,24,Gujarat,2012,LIGNITE,PULP & PAPER,579000
India,20,Jharkhand,2020,RAW COAL,POWER (CAPTIVE),29981000
India,24,Gujarat,2014,LIGNITE,TEXTILES & RAYONS,664000
India,21,Odisha,2011,RAW COAL,OTHER,21803000
India,24,Gujarat,2015,RAW COAL,CHEMICAL,72000
India,21,Odisha,2011,RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),534000
India,24,Gujarat,2016,RAW COAL,POWER (CAPTIVE),456000
India,21,Odisha,2012,MIDDLINGS,POWER (CAPTIVE),95000
India,24,Gujarat,2017,LIGNITE,BRICKS,406000
India,21,Odisha,2012,RAW COAL,OTHER,19901000
India,24,Gujarat,2017,LIGNITE,OTHER,1051000
India,21,Odisha,2012,WASHED COAL,POWER (UTILITY),711000
India,24,Gujarat,2020,RAW COAL,PULP & PAPER,72000
India,21,Odisha,2013,RAW COAL,OTHER,19080000
India,27,Maharashtra,2011,RAW COAL,OTHER,5441000
India,21,Odisha,2014,MIDDLINGS,POWER (CAPTIVE),242000
India,27,Maharashtra,2012,RAW COAL,OTHER,6049000
India,21,Odisha,2014,RAW COAL,CEMENT,394000
India,27,Maharashtra,2012,RAW COAL,PULP & PAPER,277000
India,21,Odisha,2014,RAW COAL,METALLURGICAL USE- DIRECT FEED,272000
India,27,Maharashtra,2013,RAW COAL,PULP & PAPER,298000
India,21,Odisha,2014,RAW COAL,STEEL (BOILERS),90000
India,27,Maharashtra,2014,RAW COAL,CEMENT,1829000
India,21,Odisha,2015,RAW COAL,PULP & PAPER,48000
India,27,Maharashtra,2016,RAW COAL,CHEMICAL,21000
India,21,Odisha,2016,RAW COAL,FERTILISERS,4000
India,27,Maharashtra,2017,RAW COAL,OTHER,3011000
India,21,Odisha,2016,WASHED COAL,METALLURGICAL USE- COKERIES,250000
India,27,Maharashtra,2017,RAW COAL,POWER (UTILITY),48209000
India,21,Odisha,2017,WASHED COAL,METALLURGICAL USE- COKERIES,255000
India,27,Maharashtra,2018,RAW COAL,POWER (CAPTIVE),727000
India,21,Odisha,2018,WASHED COAL,METALLURGICAL USE- DIRECT FEED,100000
